chrom,scenario,seed,priv_pca_count,priv_geo_count
8,10epsilonpca,6,110.0,
8,10epsilonpca,7,97.0,
8,10epsilonpca,8,88.0,
8,10epsilonpca,9,93.0,
8,10epsilonpca,10,98.0,
8,50epsilonpca,1,102.0,
8,50epsilonpca,2,99.0,
8,50epsilonpca,3,84.0,
8,50epsilonpca,4,100.0,
8,50epsilonpca,5,99.0,
8,50epsilonpca,6,91.0,
8,50epsilonpca,7,105.0,
8,50epsilonpca,8,85.0,
8,50epsilonpca,9,86.0,
8,50epsilonpca,10,101.0,
8,100epsilonpca,1,100.0,
8,100epsilonpca,2,103.0,
8,100epsilonpca,3,101.0,
8,100epsilonpca,4,102.0,
8,100epsilonpca,5,78.0,
8,100epsilonpca,6,99.0,
8,100epsilonpca,7,97.0,
8,100epsilonpca,8,109.0,
8,100epsilonpca,9,89.0,
8,100epsilonpca,10,83.0,
8,closest10kpca,1,153.0,
8,closest10kpca,2,153.0,
8,closest10kpca,3,153.0,
8,closest10kpca,4,153.0,
8,closest10kpca,5,153.0,
8,closest10kpca,6,153.0,
8,closest10kpca,7,153.0,
8,closest10kpca,8,153.0,
8,closest10kpca,9,153.0,
8,closest10kpca,10,153.0,
8,5epsilongeo,1,,26.0
8,5epsilongeo,2,,16.0
8,5epsilongeo,3,,17.0
8,5epsilongeo,4,,11.0
8,5epsilongeo,5,,19.0
8,5epsilongeo,6,,17.0
8,5epsilongeo,7,,15.0
8,5epsilongeo,8,,17.0
8,5epsilongeo,9,,16.0
8,5epsilongeo,10,,15.0
8,10epsilongeo,1,,6.0
